County,Votes,Percent_Voted,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Gini.Coefficient,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.obesity,Diabetes,Sexually.transmitted.infections,Uninsured,Violent.crime,Injury.deaths,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness
Walker,19683,0.298707014,65.42701824,30.91500279,0.817964741,2.840014225,17.8,0.485,30.25,24.45,24.45,1.05,7.7,12,0.09,27.4,0.353,0.326,0.096,455.3,0.28,391.65,56.4,0.349885268,-0.95603695,1.652052944,0.000356009,0.000356009,0.000917223,0.01322046,4.398640327
Waller,16715,0.424475596,62.96739456,34.3643434,0.622195633,2.046066407,45.9,0.447,28.3,17.35,21.85,1.75,13.65,17.15,0.08,35.8,0.323,0.323,0.098,372.6,0.301,248.13,73.6,-0.315361692,-0.561471459,0.558962124,4.19972E-05,4.19972E-05,4.16313E-05,0.000304053,-0.558207811
Ward,3413,0.325761191,74.45062994,22.85379432,0.292997363,2.402578377,24.5,0.431,22.85,21,21.25,0.2,20.15,14.55,0.11,81.4,0.451,0.3,0.097,410.6,0.268,430.28,72.3,0.743493389,-1.21014915,0.808228544,1.46835E-05,1.46835E-05,0.000126632,0.000547859,-0.180537389
Washington,14747,0.447760741,74.21170408,22.92669696,0.474672815,2.386926154,33.4,0.512,30.4,18.25,25.25,2.5,9.45,14.1,0.08,41.3,0.407,0.286,0.107,426.1,0.234,309.04,71.7,0.902070483,-0.26330214,0.734715945,6.78438E-05,6.78438E-05,7.0693E-05,0.000457017,-0.1363596
Webb,56867,0.236287183,22.76539997,74.37881372,1.039267062,1.816519247,47.9,0.46,25.05,21.6,30.1,0.3,9.7,13.25,0.07,91.9,0.38,0.307,0.088,389.9,0.364,520.63,41.3,-1.353401427,-1.558626288,1.444738654,0.000185557,0.000185557,0.000356202,0.001162014,2.013572583
Wharton,14707,0.357843257,69.0079554,28.81620997,0.346773645,1.829060991,58.1,0.46,28.05,16.3,20.9,3,15.45,16.25,0.09,65.8,0.444,0.292,0.115,305,0.279,452.44,59.5,-0.04022302,-0.856179753,0.644432876,3.16459E-05,3.16459E-05,6.92817E-05,0.00027784,-0.437004887
Wheeler,2306,0.453401494,90.50303556,8.41283608,0.173460538,0.910667823,54.7,0.513,25.9,19.95,16.75,3.4,19.3,14.7,0.07,65.7,0.277,0.296,0.112,201.3,0.295,236.23,110.8,-0.438171571,-0.706142321,0.773966953,4.38738E-05,4.38738E-05,7.56994E-05,0.0004122,-0.194006861
Wichita,37913,0.291678848,72.82198718,23.08443014,0.675230132,3.418352544,42,0.472,29.05,20.45,26.25,0.25,10.3,13.75,0.08,59.8,0.348,0.329,0.113,497.3,0.229,412.22,78.2,0.907941695,-0.607526142,0.543187395,1.46861E-05,1.46861E-05,2.73894E-05,0.000126376,-0.747108692
Wilbarger,4101,0.300880411,77.20068276,19.67812729,0.316995855,2.804194099,32.4,0.454,26.25,25.5,18.1,2.35,12.95,14.75,0.08,74.1,0.39,0.292,0.109,335.7,0.246,411.6,70.4,-0.243580435,-1.329633276,0.820404717,1.66275E-05,1.66275E-05,0.000164749,0.000620783,-0.06907783
Willacy,5082,0.239164196,30.3227076,67.21763085,0.609996065,1.849665486,42.9,0.545,23,35.05,22.3,5.4,6.1,8.1,0.08,76.5,0.42,0.285,0.088,316.8,0.298,1164.82,40.4,-0.949374908,-2.672407419,1.873980171,5.06897E-05,5.06897E-05,0.000810237,0.002480815,2.919599208
Williamson,200524,0.504389297,51.87857813,42.01591829,1.016337197,5.089166384,49.6,0.37,43.85,12.6,27.35,0.1,8,8.2,0.07,33.6,0.227,0.271,0.075,313.9,0.174,137.72,38.7,1.155086463,1.230558036,0.644716564,-0.000190182,0.000190182,0.000263795,0.000637671,0.793889417
Wilson,19255,0.469920683,72.66164633,24.87665541,0.425863412,2.035834848,40.2,0.39,33.85,14.25,24.65,1,14.1,12.2,0.09,34.7,0.214,0.276,0.098,253.5,0.21,125.64,61.1,0.847337401,0.395210959,0.54430773,-2.24237E-05,2.24237E-05,8.46188E-05,0.000234384,-0.577885845
Winkler,1873,0.273590418,74.906567,22.42391885,0.053390283,2.616123865,63.8,0.431,20.85,19.6,15.25,0.35,28.75,15.15,0.1,63.4,0.321,0.318,0.1,236.8,0.272,218.94,80.7,-0.664439522,-1.106618576,0.811635093,3.82294E-05,3.82294E-05,0.000125287,0.000479654,-0.06160043
